3	hs	34	ACADM	NP_000007
3	mm	11364	Acadm	NP_031408
3	rn	24158	Acadm	NP_058682
5	hs	37	ACADVL	NP_000009
5	mm	11370	Acadvl	NP_059062
5	rn	25363	Acadvl	NP_037023
6	hs	38	ACAT1	NP_000010
6	mm	110446	Acat1	NP_659033
6	rn	25014	Acat1	NP_058771
7	hs	90	ACVR1	NP_001096
7	mm	11477	Acvr1	NP_001103674
7	rn	79558	Acvr1	NP_077812
9	hs	6442	SGCA	NP_000014
9	mm	20391	Sgca	NP_033187
9	rn	303468	Sgca	NP_001100509
12	hs	158	ADSL	NP_000017
12	mm	11564	Adsl	NP_033764
12	rn	315150	Adsl	NP_001123975
13	hs	175	AGA	NP_000018
13	mm	11593	Aga	NP_001005847
13	rn	290923	Aga	NP_001026811
14	hs	183	AGT	NP_000020
14	mm	11606	Agt	NP_031454
14	rn	24179	Agt	NP_602308
16	hs	210	ALAD	NP_000022
16	mm	17025	Alad	NP_032551
16	rn	25374	Alad	NP_037031
17	hs	212	ALAS2	NP_000023
17	mm	11656	Alas2	NP_033783
17	rn	25748	Alas2	NP_037329
20	hs	270	AMPD1	NP_000027
20	mm	229665	Ampd1	NP_001028475
20	rn	25028	Ampd1	NP_620231
26	hs	350	APOH	NP_000033
26	mm	11818	Apoh	NP_038503
26	rn	287774	Apoh	NP_001009626
27	hs	355	FAS	NP_000034
27	mm	14102	Fas	NP_032013
27	rn	246097	Fas	NP_631933
28	hs	367	AR	NP_000035
28	mm	11835	Ar	NP_038504
28	rn	24208	Ar	NP_036634
29	hs	383	ARG1	NP_001231367
29	mm	11846	Arg1	NP_031508
29	rn	29221	Arg1	NP_058830
32	hs	435	ASL	NP_000039
32	mm	109900	Asl	NP_598529
32	rn	59085	Asl	NP_067588
33	hs	443	ASPA	NP_001121557
33	mm	11484	Aspa	NP_075602
33	rn	79251	Aspa	NP_077375
35	hs	538	ATP7A	NP_000043
35	mm	11977	Atp7a	NP_001103227
35	rn	24941	Atp7a	NP_434690
39	hs	594	BCKDHB	NP_898871
39	mm	12040	Bckdhb	NP_954665
39	rn	29711	Bckdhb	NP_062140
41	hs	675	BRCA2	NP_000050
41	mm	12190	Brca2	NP_033895
41	rn	360254	Brca2	NP_113730
44	hs	710	SERPING1	NP_000053
44	mm	12258	Serping1	NP_033906
44	rn	295703	Serping1	NP_954524
45	hs	717	C2	NP_000054
45	mm	12263	C2	NP_038512
45	rn	24231	C2	NP_757376
47	hs	729	C6	NP_000056
47	mm	12274	C6	NP_057913
47	rn	24237	C6	NP_788263
48	hs	732	C8B	NP_000057
48	mm	110382	C8b	NP_598643
48	rn	313421	C8b	NP_001178688
52	hs	825	CAPN3	NP_000061
52	mm	12335	Capn3	NP_031627
52	rn	29155	Capn3	NP_058813
55	hs	917	CD3G	NP_000064
